"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"  41+","19% (35)","19% (23)","21% (11)","0% (0)","20% (1)","0% (0)","19% (29)","33% (4)","21% (19)","18% (16)","23% (10)","20% (17)","17% (8)","0% (0)","14% (8)","22% (8)","22% (8)","22% (11)","20% (26)","19% (9)"
"Mean (overall)","26","27.3","23.8","NaN","24.6","13.5","25.5","31.3","25.8","26.3","25.9","26.8","25.2","23.9","27.3","23.7","25.5","27.1","26.9","23.7"
"Mean (minus outliers)","26","27.3","23.8","NaN","24.6","13.5","25.5","31.3","25.8","26.3","25.9","26.8","25.2","23.9","27.3","23.7","25.5","27.1","26.9","23.7"
"Median (overall)","30.5","32","19",NA,"34","13.5","30.5","36","28","31","25","31","27.5","32","32","23","24.5","35","32","23"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: region","","","","","","","","","","","","","","","","","","","",""
"Northeast","26% (47)","29% (35)","21% (11)","0% (0)","20% (1)","0% (0)","29% (43)","8% (1)","24% (22)","28% (25)","19% (8)","28% (23)","26% (12)","50% (4)","34% (19)","19% (7)","19% (7)","27% (13)","27% (36)","23% (11)"
"South","31% (56)","28% (34)","40% (21)","0% (0)","20% (1)","0% (0)","31% (46)","42% (5)","35% (32)","27% (24)","37% (16)","27% (22)","35% (16)","25% (2)","21% (12)","41% (15)","39% (14)","31% (15)","31% (41)","32% (15)"
"Midwest","23% (41)","23% (27)","25% (13)","0% (0)","0% (0)","50% (1)","19% (28)","42% (5)","20% (18)","26% (23)","21% (9)","28% (23)","17% (8)","13% (1)","23% (13)","24% (9)","28% (10)","18% (9)","24% (32)","19% (9)"
"West","20% (36)","20% (24)","15% (8)","0% (0)","60% (3)","50% (1)","22% (33)","8% (1)","21% (19)","19% (17)","23% (10)","18% (15)","22% (10)","13% (1)","21% (12)","16% (6)","14% (5)","24% (12)","18% (24)","26% (12)"
"Other","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Invalid Region","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: b3","","","","","","","","","","","","","","","","","","","",""
"Urban","37% (67)","45% (54)","21% (11)","0% (0)","20% (1)","50% (1)","39% (59)","33% (4)","47% (43)","27% (24)","37% (16)","37% (31)","37% (17)","38% (3)","39% (22)","38% (14)","22% (8)","45% (22)","38% (51)","34% (16)"
"Suburban","51% (92)","48% (57)","57% (30)","0% (0)","80% (4)","50% (1)","50% (75)","42% (5)","46% (42)","56% (50)","60% (26)","48% (40)","48% (22)","50% (4)","57% (32)","46% (17)","61% (22)","41% (20)","50% (67)","53% (25)"
"Rural","12% (21)","8% (9)","23% (12)","0% (0)","0% (0)","0% (0)","11% (16)","25% (3)","7% (6)","17% (15)","2% (1)","14% (12)","15% (7)","13% (1)","4% (2)","16% (6)","17% (6)","14% (7)","11% (15)","13% (6)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: b4","","","","","","","","","","","","","","","","","","","",""
"0 or Less (Total)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"  1 - -101","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"  -100 - 0","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"More Than 0 (Total)","100% (180)","100% (120)","100% (53)","0% (0)","100% (5)","100% (2)","100% (150)","100% (12)","100% (91)","100% (89)","100% (43)","100% (83)","100% (46)","100% (8)","100% (56)","100% (37)","100% (36)","100% (49)","100% (133)","100% (47)"
"  1 - 500","98% (177)","98% (117)","100% (53)","0% (0)","100% (5)","100% (2)","98% (147)","100% (12)","97% (88)","100% (89)","100% (43)","98% (81)","98% (45)","100% (8)","100% (56)","95% (35)","100% (36)","98% (48)","98% (130)","100% (47)"
"  501+","2% (3)","3% (3)","0% (0)","0% (0)","0% (0)","0% (0)","2% (3)","0% (0)","3% (3)","0% (0)","0% (0)","2% (2)","2% (1)","0% (0)","0% (0)","5% (2)","0% (0)","2% (1)","2% (3)","0% (0)"
"Mean (overall)","36.3","45.5","16.7","NaN","14","64","39.9","19.9","54.7","17.6","26","45.5","32.9","17.3","26.9","68.6","12.6","38.1","44.7","12.6"
"Mean (minus outliers)","10.9","13.8","3.6","NaN","7.5","64","11.6","15.4","12.8","9.1","15.9","11","9.8","9","13.6","10","2.8","11","13.4","3.3"
"Median (overall)","7.5","10","3",NA,"8","64","8","15","10","6","8","8","6","8","8.5","8","3","10","10","3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: qconsent","","","","","","","","","","","","","","","","","","","",""
"Yes","89% (160)","88% (105)","91% (48)","0% (0)","100% (5)","100% (2)","89% (134)","92% (11)","85% (77)","93% (83)","88% (38)","88% (73)","91% (42)","88% (7)","88% (49)","92% (34)","97% (35)","82% (40)","86% (115)","96% (45)"
"No","11% (20)","13% (15)","9% (5)","0% (0)","0% (0)","0% (0)","11% (16)","8% (1)","15% (14)","7% (6)","12% (5)","12% (10)","9% (4)","13% (1)","13% (7)","8% (3)","3% (1)","18% (9)","14% (18)","4% (2)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s5","","","","","","","","","","","","","","","","","","","",""
"Advertising Agency","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Marketing/Market Research Firm","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Public Relations Firm","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Any media company (Print, Radio, TV, Internet)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Pharmaceutical Drug / Device Manufacturer (outside of clinical trials)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Governmental Regulatory Agency (e.g., Food & Drug Administration (FDA))","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"None of these","100% (180)","100% (120)","100% (53)","0% (0)","100% (5)","100% (2)","100% (150)","100% (12)","100% (91)","100% (89)","100% (43)","100% (83)","100% (46)","100% (8)","100% (56)","100% (37)","100% (36)","100% (49)","100% (133)","100% (47)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s8","","","","","","","","","","","","","","","","","","","",""
"Treating/Managing patients","95.2","94.3","97.8","NaN","89.6","95","94.9","93.5","94.7","95.6","93.4","96","95.3","95.6","94.7","94.2","97.6","94.4","94.7","96.5"
"Performing academic functions (e.g., teaching, publishing)","2.2","2.7","0.7","NaN","6","2.5","2.4","1.9","2.3","2.1","3","2","1.7","3.1","2.5","2.9","0.8","2.4","2.5","1.4"
"Participating in clinical research","0.8","1.2","0","NaN","0","0","0.9","0.6","0.9","0.7","1.7","0.6","0.2","0.3","1.3","1.4","0","0.4","0.9","0.4"
"Performing other functions","1.9","1.9","1.5","NaN","4.4","2.5","1.9","4","2.1","1.6","1.9","1.4","2.9","1","1.5","1.5","1.6","2.8","1.9","1.8"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s12","","","","","","","","","","","","","","","","","","","",""
"Over 5 years ago","53.5","64.3","32.3","NaN","22","47.5","54.7","46.3","82.6","23.8","72.1","56.8","36.8","15.6","68.4","70.5","27.2","44.4","60.6","33.5"
"Within the last 3-5 years","37.4","46.8","19.4","NaN","11.8","7.5","37.6","37.5","57.6","16.6","51","34.9","31.1","25.5","47.2","45.8","18.3","34.8","41.1","26.7"
"Within the last 1-2 years","31.7","39.1","17.8","NaN","10.8","7.5","31.8","30.2","47.7","15.2","39.3","30.5","26.9","30.3","40","33.5","18.2","31.3","34.4","24"
"Within the last year","25.2","31.6","13","NaN","5.2","10","25.2","20.3","38.9","11.1","29","25.9","20","26.8","29.9","29.9","10.9","27.2","26.9","20.2"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a1_value_1","","","","","","","","","","","","","","","","","","","",""
"Leqvio (inclisiran)","61% (110)","57% (68)","72% (38)","0% (0)","40% (2)","100% (2)","60% (90)","83% (10)","59% (54)","63% (56)","67% (29)","61% (51)","52% (24)","75% (6)","64% (36)","57% (21)","69% (25)","55% (27)","60% (80)","64% (30)"
"Praluent (alirocumab)","63% (113)","62% (74)","64% (34)","0% (0)","60% (3)","100% (2)","63% (94)","75% (9)","63% (57)","63% (56)","70% (30)","58% (48)","61% (28)","88% (7)","66% (37)","54% (20)","64% (23)","65% (32)","59% (79)","72% (34)"
"Repatha (evolocumab)","63% (114)","60% (72)","70% (37)","0% (0)","60% (3)","100% (2)","63% (95)","75% (9)","64% (58)","63% (56)","67% (29)","63% (52)","57% (26)","88% (7)","64% (36)","54% (20)","72% (26)","63% (31)","59% (79)","74% (35)"
"Nexletol (bempedoic acid) or Nexlizet (bempedoic acid and ezetimibe)","60% (108)","56% (67)","64% (34)","0% (0)","100% (5)","100% (2)","59% (88)","75% (9)","59% (54)","61% (54)","67% (29)","57% (47)","63% (29)","38% (3)","61% (34)","59% (22)","61% (22)","59% (29)","59% (78)","64% (30)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a1_value_2","","","","","","","","","","","","","","","","","","","",""
"Leqvio (inclisiran)","39% (70)","43% (52)","28% (15)","0% (0)","60% (3)","0% (0)","40% (60)","17% (2)","41% (37)","37% (33)","33% (14)","39% (32)","48% (22)","25% (2)","36% (20)","43% (16)","31% (11)","45% (22)","40% (53)","36% (17)"
"Praluent (alirocumab)","37% (67)","38% (46)","36% (19)","0% (0)","40% (2)","0% (0)","37% (56)","25% (3)","37% (34)","37% (33)","30% (13)","42% (35)","39% (18)","13% (1)","34% (19)","46% (17)","36% (13)","35% (17)","41% (54)","28% (13)"
"Repatha (evolocumab)","37% (66)","40% (48)","30% (16)","0% (0)","40% (2)","0% (0)","37% (55)","25% (3)","36% (33)","37% (33)","33% (14)","37% (31)","43% (20)","13% (1)","36% (20)","46% (17)","28% (10)","37% (18)","41% (54)","26% (12)"
"Nexletol (bempedoic acid) or Nexlizet (bempedoic acid and ezetimibe)","40% (72)","44% (53)","36% (19)","0% (0)","0% (0)","0% (0)","41% (62)","25% (3)","41% (37)","39% (35)","33% (14)","43% (36)","37% (17)","63% (5)","39% (22)","41% (15)","39% (14)","41% (20)","41% (55)","36% (17)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3","","","","","","","","","","","","","","","","","","","",""
"Statin only (i.e., no additional therapy)","58.1","56","63.6","NaN","60","35","58.9","51.4","59.4","56.8","47.7","62.8","56.7","73.8","57.4","53.2","60.1","60.6","58.8","56.3"
"Leqvio (inclisiran)","6.4","7","5.6","NaN","1.8","3.5","6.1","11","7.1","5.7","9.8","6.1","4.3","3.1","6.8","9","5.8","4.5","6.3","6.7"
"Praluent (alirocumab)","6.2","6.5","6.1","NaN","1.4","2.5","6","8.4","6.6","5.7","7.2","5.7","6.2","5","5.8","4.7","7.3","6.9","5.8","7.3"
"Repatha (evolocumab)","16.5","18","13.3","NaN","13.2","20","15.7","28","16.7","16.4","21.2","13.9","17.5","12.3","18.2","19.8","14.8","13.3","16.7","16"
"Zetia (ezetimibe) or generic ezetimibe","20.4","21","17.4","NaN","38.6","25","20.2","22.3","21.6","19.2","23.2","19.2","21","15.3","21.3","20.2","19.1","21.2","21.2","18.3"
"Nexletol (bempedoic acid) or Nexlizet (bempedoic acid and ezetimibe)","6.1","5.8","6","NaN","9","14","5.8","8.2","6.7","5.3","7.8","5.5","6.1","1.9","7.6","4.5","7.2","4.8","6.1","5.8"
"Other","0.5","0.4","1","NaN","0","0","0.6","0.4","0.6","0.5","0.3","0.8","0.4","0","0.4","0.5","1.3","0.2","0.4","0.9"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3ar1","","","","","","","","","","","","","","","","","","","",""
"In addition to statin","41.1","42.8","39.2",NA,"36.7","7.5","41","32","43.5","38.5","39.3","47.4","29.8","42.5","42.2","45.5","39.6","36","40.9","41.6"
"Without a statin","58.9","57.2","60.8",NA,"63.3","92.5","59","68","56.5","61.5","60.7","52.6","70.2","57.5","57.8","54.5","60.4","64","59.1","58.4"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3ar2","","","","","","","","","","","","","","","","","","","",""
"In addition to statin","47.8","49.8","45.2",NA,"35.5","20","47.7","34.4","49","46.5","51.6","47.8","44.3","49","52.6","45.8","42.1","47.1","47.8","47.8"
"Without a statin","52.2","50.2","54.8",NA,"64.5","80","52.3","65.6","51","53.5","48.4","52.2","55.7","51","47.4","54.3","57.9","52.9","52.2","52.2"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3ar3","","","","","","","","","","","","","","","","","","","",""
"In addition to statin","53.4","54.6","51",NA,"56","35","53.3","54.2","54.9","51.9","56.4","53.5","49.8","57.1","57.1","55.8","47.8","51.6","54","51.7"
"Without a statin","46.6","45.4","49",NA,"44","65","46.7","45.8","45.1","48.1","43.6","46.5","50.2","42.9","42.9","44.2","52.2","48.4","46","48.3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3ar4","","","","","","","","","","","","","","","","","","","",""
"In addition to statin","75.1","76.9","69.6",NA,"88.4","67.5","74.6","76.7","73.2","77.1","71.4","76.2","73.9","89.1","74.7","77.9","71.4","74.6","75.3","74.3"
"Without a statin","24.9","23.1","30.4",NA,"11.6","32.5","25.4","23.3","26.8","22.9","28.6","23.8","26.1","10.9","25.3","22.1","28.6","25.4","24.7","25.7"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3ar5","","","","","","","","","","","","","","","","","","","",""
"In addition to statin","45.6","47.3","40.7",NA,"60.8","16.5","43.4","56.1","47.7","43.2","51","47.1","35.2","75","49.4","44.9","37.8","43.6","46.9","41.1"
"Without a statin","54.4","52.7","59.3",NA,"39.2","83.5","56.6","43.9","52.3","56.8","49","52.9","64.8","25","50.6","55.1","62.2","56.4","53.1","58.9"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3br1","","","","","","","","","","","","","","","","","","","",""
"BEFORE any other lipid-lowering therapy (i.e., first line)","13.4","14.4","11.9",NA,"0","10","14.4","5.9","14.9","11.7","14.3","12.9","13.8","10","11.3","13.3","14","16.9","12.3","16.8"
"AFTER trying another lipid-lowering therapy","86.6","85.6","88.1",NA,"100","90","85.6","94.1","85.1","88.3","85.7","87.1","86.2","90","88.7","86.7","86","83.1","87.7","83.2"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3br2","","","","","","","","","","","","","","","","","","","",""
"BEFORE any other lipid-lowering therapy (i.e., first line)","17.3","18.9","14",NA,"2.5","10","16.6","9.6","20","13.8","15.2","17.6","19","13.8","19","7.7","14.4","23.9","17.8","15.7"
"AFTER trying another lipid-lowering therapy","82.7","81.1","86",NA,"97.5","90","83.4","90.4","80","86.2","84.8","82.4","81","86.3","81","92.3","85.7","76.1","82.2","84.3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3br3","","","","","","","","","","","","","","","","","","","",""
"BEFORE any other lipid-lowering therapy (i.e., first line)","15.5","19.1","7.6",NA,"1","17.5","15.2","8.8","19.3","11.5","19.1","15.2","14.1","8.1","20.4","13.9","10.4","15","16.9","11.2"
"AFTER trying another lipid-lowering therapy","84.5","80.9","92.4",NA,"99","82.5","84.8","91.2","80.7","88.5","80.9","84.8","85.9","91.9","79.6","86.1","89.6","85","83.1","88.8"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3br4","","","","","","","","","","","","","","","","","","","",""
"BEFORE any other lipid-lowering therapy (i.e., first line)","18.7","20.8","15.7",NA,"1.2","40","17.1","15.6","21.1","15.9","8.7","23.1","17.6","31","15.8","22.4","20.2","18.2","18.6","18.9"
"AFTER trying another lipid-lowering therapy","81.3","79.2","84.3",NA,"98.8","60","82.9","84.4","78.9","84.1","91.3","76.9","82.4","69","84.2","77.6","79.8","81.8","81.4","81.1"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a3br5","","","","","","","","","","","","","","","","","","","",""
"BEFORE any other lipid-lowering therapy (i.e., first line)","13.4","14.3","12.3",NA,"2","25","13.1","11.3","15.8","10.9","9.2","14.8","14.8","40","10.5","8.3","17.5","19.5","13.5","13"
"AFTER trying another lipid-lowering therapy","86.6","85.7","87.7",NA,"98","75","86.9","88.8","84.2","89.1","90.8","85.2","85.2","60","89.5","91.7","82.5","80.5","86.5","87"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4r1","","","","","","","","","","","","","","","","","","","",""
"Statin only (i.e., no additional therapy)","58.1","56","63.6","NaN","60","35","58.9","51.4","59.4","56.8","47.7","62.8","56.7","73.8","57.4","53.2","60.1","60.6","58.8","56.3"
"Statin only (i.e., no additional therapy)","48.6","46.6","52.1","NaN","70","22.5","49.5","38.8","49.8","47.3","41.8","51.7","48.9","50.6","49.7","45.9","47.6","50.5","50","44.4"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4r2","","","","","","","","","","","","","","","","","","","",""
"Leqvio (inclisiran)","6.4","7","5.6","NaN","1.8","3.5","6.1","11","7.1","5.7","9.8","6.1","4.3","3.1","6.8","9","5.8","4.5","6.3","6.7"
"Leqvio (inclisiran)","12.4","12.3","13.5","NaN","2.6","7.5","11.4","21.3","12.8","11.9","13","14","9.8","6.9","11.1","16.9","12.3","10.8","12.4","12.3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4r3","","","","","","","","","","","","","","","","","","","",""
"Praluent (alirocumab)","6.2","6.5","6.1","NaN","1.4","2.5","6","8.4","6.6","5.7","7.2","5.7","6.2","5","5.8","4.7","7.3","6.9","5.8","7.3"
"Praluent (alirocumab)","10.5","10.8","10.6","NaN","1.4","7.5","9.9","9.6","11.5","9.4","8.6","12","8.6","15.6","9.4","11.2","11.2","10.2","10.8","9.6"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4r4","","","","","","","","","","","","","","","","","","","",""
"Repatha (evolocumab)","16.5","18","13.3","NaN","13.2","20","15.7","28","16.7","16.4","21.2","13.9","17.5","12.3","18.2","19.8","14.8","13.3","16.7","16"
"Repatha (evolocumab)","25.1","26.2","23.5","NaN","16","25","23.8","36.3","24.8","25.5","23.3","25.1","27","23.5","25.2","26.8","25.6","22.9","25.7","23.4"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4r5","","","","","","","","","","","","","","","","","","","",""
"Zetia (ezetimibe) or generic ezetimibe","20.4","21","17.4","NaN","38.6","25","20.2","22.3","21.6","19.2","23.2","19.2","21","15.3","21.3","20.2","19.1","21.2","21.2","18.3"
"Zetia (ezetimibe) or generic ezetimibe","20.1","20.2","19","NaN","28.8","22.5","20","14.3","22.4","17.8","20.5","20.6","20.5","10.9","21.3","19.2","17.8","21.9","21.6","15.9"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4r6","","","","","","","","","","","","","","","","","","","",""
"Nexletol (bempedoic acid) or Nexlizet (bempedoic acid and ezetimibe)","6.1","5.8","6","NaN","9","14","5.8","8.2","6.7","5.3","7.8","5.5","6.1","1.9","7.6","4.5","7.2","4.8","6.1","5.8"
"Nexletol (bempedoic acid) or Nexlizet (bempedoic acid and ezetimibe)","8.9","8.7","9.3","NaN","8.4","15","8.2","14.3","10.8","7","8.9","9.8","8.7","1.9","9.2","10.7","8.8","7.7","9.8","6.6"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4r7","","","","","","","","","","","","","","","","","","","",""
"Other","0.5","0.4","1","NaN","0","0","0.6","0.4","0.6","0.5","0.3","0.8","0.4","0","0.4","0.5","1.3","0.2","0.4","0.9"
"Other","1.2","0.6","2.6","NaN","0","0","1.4","0.4","2","0.3","0.2","2.5","0","0","0.1","3.1","0.9","1.2","1.3","0.8"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4br1","","","","","","","","","","","","","","","","","","","",""
"Next treatment allocation","21.9","22.7","22.2",NA,"0","15","21.7","27.7","22.4","21.3","20.2","22","20.7","53.3","15.9","25.9","22.9","27.6","20.2","26.7"
"Next treatment allocation","78.1","77.3","77.8",NA,"100","85","78.3","72.3","77.6","78.7","79.8","78","79.3","46.7","84.1","74.1","77.1","72.4","79.8","73.3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4br2","","","","","","","","","","","","","","","","","","","",""
"Next treatment allocation","25.1","26.2","23.6",NA,"12.5","10","24.1","32.1","27.3","22.1","22.6","24.3","27.1","35","22.7","22.7","27.8","29.9","26.1","21.9"
"Next treatment allocation","74.9","73.8","76.4",NA,"87.5","90","75.9","67.9","72.7","77.9","77.4","75.7","72.9","65","77.3","77.3","72.3","70.1","73.9","78.1"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4br3","","","","","","","","","","","","","","","","","","","",""
"Next treatment allocation","28.3","29.9","25.8",NA,"14","20","28.2","32.9","32.1","24.2","30.3","26.9","26.7","39.4","27.4","31.1","28.4","27.8","28.2","28.3"
"Next treatment allocation","71.7","70.1","74.2",NA,"86","80","71.8","67.1","67.9","75.8","69.7","73.1","73.3","60.6","72.6","68.9","71.6","72.2","71.8","71.7"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4br4","","","","","","","","","","","","","","","","","","","",""
"Next treatment allocation","22.4","24.6","19.5",NA,"0.8","30","20.5","24.3","25.1","18.9","15.9","23.5","25.4","25","18.1","24.6","20.6","26.8","23.3","19.7"
"Next treatment allocation","77.6","75.4","80.5",NA,"99.3","70","79.5","75.7","74.9","81.1","84.1","76.5","74.6","75","81.9","75.4","79.4","73.2","76.7","80.3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a4br5","","","","","","","","","","","","","","","","","","","",""
"Next treatment allocation","17.9","19.3","15.9",NA,"0","25","17.6","24.2","22.7","11.8","13.1","18.4","21.4","60","13.3","19.3","17.1","25.9","17.7","18.3"
"Next treatment allocation","82.1","80.7","84.1",NA,"100","75","82.5","75.8","77.3","88.2","86.9","81.6","78.6","40","86.7","80.7","82.9","74.1","82.3","81.7"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a6_value_1","","","","","","","","","","","","","","","","","","","",""
"Start statin first, add/switch to ezetimibe or Nexletol/Nexlizet if needed","68% (94)","66% (59)","71% (29)","0% (0)","80% (4)","100% (2)","72% (84)","33% (3)","75% (49)","62% (45)","71% (24)","67% (40)","68% (25)","71% (5)","74% (34)","58% (15)","78% (21)","63% (24)","67% (71)","72% (23)"
"Start statin and ezetimibe or Nexletol/Nexlizet at the same time","10% (14)","12% (11)","7% (3)","0% (0)","0% (0)","0% (0)","10% (12)","0% (0)","15% (10)","5% (4)","18% (6)","8% (5)","8% (3)","0% (0)","13% (6)","8% (2)","11% (3)","8% (3)","11% (12)","6% (2)"
"Start ezetimibe or Nexletol/Nexlizet, no statin","3% (4)","3% (3)","2% (1)","0% (0)","0% (0)","0% (0)","3% (3)","11% (1)","6% (4)","0% (0)","0% (0)","7% (4)","0% (0)","0% (0)","0% (0)","8% (2)","0% (0)","5% (2)","3% (3)","3% (1)"
"Start statin first, add/switch to PCSK9i if needed","32% (44)","32% (29)","34% (14)","0% (0)","20% (1)","0% (0)","30% (35)","56% (5)","25% (16)","38% (28)","24% (8)","38% (23)","30% (11)","29% (2)","28% (13)","38% (10)","26% (7)","34% (13)","30% (32)","38% (12)"
"Start statin and PCSK9i at the same time","4% (5)","4% (4)","2% (1)","0% (0)","0% (0)","0% (0)","2% (2)","33% (3)","3% (2)","4% (3)","6% (2)","2% (1)","5% (2)","0% (0)","0% (0)","8% (2)","4% (1)","5% (2)","3% (3)","6% (2)"
"Start PCSK9i, no statin","8% (11)","8% (7)","10% (4)","0% (0)","0% (0)","0% (0)","8% (9)","0% (0)","9% (6)","7% (5)","9% (3)","7% (4)","8% (3)","14% (1)","4% (2)","15% (4)","15% (4)","0% (0)","7% (7)","13% (4)"
"Start statin first, add/switch to ezetimibe or Nexletol/Nexlizet if needed, add/switch to PCSK9i if needed after that","6% (8)","8% (7)","2% (1)","0% (0)","0% (0)","0% (0)","4% (5)","0% (0)","6% (4)","5% (4)","0% (0)","10% (6)","5% (2)","0% (0)","2% (1)","8% (2)","0% (0)","13% (5)","5% (5)","9% (3)"
"Other","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
